"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71"
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/aidman_daniel_kq48","","","","","Daniel Aidman","","","","","","","","","","","","","","","","","","","","","","","","","","","44","Sophomore","6-2","","","","","","","ILB","205","","","","","","","","","","","","","","","","","","Austin, TX / Westlake","","","","","",""
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/allen_sanoj_e7eo","","","","","Sanoj Allen","","","","","","","","","","","","","","","","","","","","","","","","","","","53","Junior","6-3","","","","","","","DE","235","","","","","","","","","","","","","","","","","","Sharpsburg, GA / East Coweta","","","","","",""
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/allsop_nicholas_27v2","","","","","Nicholas Allsop","","","","","","","","","","","","","","","","","","","","","","","","","","","68","Freshman","6-3","","","","","","","OL","285","","","","","","","","","","","","","","","","","","North Easton, MA / Xaverian Brothers","","","","","",""
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/anderson_jordan_eemh","","","","","Jordan Anderson","","","","","","","","","","","","","","","","","","","","","","","","","","","41","Sophomore","6-3","","","","","","","OLB","190","","","","","","","","","","","","","","","","","","Knoxville, TN / Knoxville Catholic","","","","","",""
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/banfield_daryle_zolj","","","","","Daryle Banfield","","","","","","","","","","","","","","","","","","","","","","","","","","","98","Sophomore","6-4","","","","","","","DL","235","","","","","","","","","","","","","","","","","","Bronx, NY / St. Paul's School (NH)","","","","","",""
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/bates_streator_o0h5","","","","","Streator Bates","","","","","","","","","","","","","","","","","","","","","","","","","","","87","Freshman","6-3","","","","","","","TE/K","225","","","","","","","","","","","","","","","","","","Scottsdale, AZ / Brophy College Prep","","","","","",""
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/biestek_jeffrey_le60","","","","","Jeffrey Biestek","","","","","","","","","","","","","","","","","","","","","","","","","","","40","Senior","6-0","","","","","","","TE","250","","","","","","","","","","","","","","","","","","Yalesville, CT / Cheshire Academy","","","","","",""
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/blandberg_jaelon_wbve","","","","","Jaelon Blandburg","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Freshman","6-3","","","","","","","WR","195","","","","","","","","","","","","","","","","","","Orange County, CA / Wilbraham and Monson Academy","","","","","",""
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/bolton_andrew_sd1w","","","","","Andrew Bolton","","","","","","","","","","","","","","","","","","","","","","","","","","","36","Freshman","5-10","","","","","","","RB","190","","","","","","","","","","","","","","","","","","Troy, NY / Shaker","","","","","",""
"","","11/1/2016 9:21:34 PM","http://www.brownbears.com/sports/m-footbl/2016-17/roster","http://www.brownbears.com/sports/m-footbl/2016-17/bios/broome_jalen_8sg3","","","","","Jalen Broome","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Junior","5-10","","","","","","","RB","185","","","","","","","","","","","","","","","","","","University Park, MD / Potomac School","","","","","",""
