"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Columbia Lions","","","","","",""
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/team/roster/_/id/171/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030458/hunter-petlansky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Hunter Petlansky","QB","6-3","210","FR","Livermore, CA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3118153/cameron-roane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Cameron Roane","DB","6-1","195","JR","Durham, NC"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/555970/cameron-dunn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Cameron Dunn","WR","6-3","210","SR","Mason, OH"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/537029/jackson-conway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Jackson Conway","RB","5-11","230","SR","Bronxville, NY"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030449/hunter-lunsford","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Hunter Lunsford","DB","6-1","195","FR","Elk Grove, CA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/555570/alan-watson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Alan Watson","RB","5-9","185","SR","New Albany, OH"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/555930/cameron-nizialek","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Cameron Nizialek","PK","6-2","215","SR","Chantilly, VA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3118182/marcus-briscoe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Marcus Briscoe","WR","6-2","210","JR","Pomona, CA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/537028/christian-conway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Christian Conway","DB","5-11","210","SR","Bronxville, NY"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/535925/skyler-mornhinweg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Skyler Mornhinweg","QB","6-3","220","SR","Philadelphia, PA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030454/michael-murphy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Michael Murphy","DB","5-11","195","FR","Tampa, FL"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/557342/toure-douglas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Toure Douglas","WR","6-4","210","SR","Vineland, NJ"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030441/christian-everett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Christian Everett","WR","6-2","215","FR","Chicago, IL"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3118149/dylan-weldon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Dylan Weldon","WR","5-9","160","JR","Las Vegas, NV"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/555944/denzel-hill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Denzel Hill","WR","6-3","200","SR","Waldorf, MD"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3118150/anders-hill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Anders Hill","QB","6-4","215","JR","Boulder, CO"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3912423/kyle-castner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Kyle Castner","QB","6-1","210","SO","Indianapolis, IN"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030470/josh-wainwright","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Josh Wainwright","WR","5-11","170","FR","Austin, TX"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3943191/jacob-young","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Jacob Young","DB","5-10","195","SO","Bethlehem, PA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030439/matt-dame","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Matt Dame","QB","6-2","180","FR","Jupiter, FL"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3118151/colinn-early","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Colinn Early","DB","5-7","175","JR","New Orleans, LA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3912431/daniel-hong","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Daniel Hong","QB","6-3","185","SO","Las Vegas, NV"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030447/justin-hill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Justin Hill","DB","5-9","165","FR","Springfield, PA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/556755/ben-kaplan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Ben Kaplan","WR","6-4","180","SR","Saint Charles, IL"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030452/oren-milstein","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Oren Milstein","PK","5-8","160","FR","Boca Raton, FL"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3912438/ryan-suitt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Ryan Suitt","QB","6-1","175","SO","Fort Worth, TX"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3912427/tre-gabriel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Tre Gabriel","WR","5-6","155","SO","West Palm Beach, FL"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/533647/scooter-hollis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Scooter Hollis","WR","5-11","175","SR","Bowling Green, KY"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030450/benjamin-mckeighan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Benjamin McKeighan","DB","6-1","190","FR","Scottsdale, AZ"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030467/tanner-thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Tanner Thomas","RB","5-10","190","FR","Knoxville, TN"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3118152/jared-katz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Jared Katz","DB","6-2","200","SR","Manorville, NY"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030461/lynnard-rose","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Lynnard Rose","RB","6-1","185","FR","Houston, TX"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3118162/landon-baty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","Landon Baty","DB","5-10","195","JR","Mountain View, CA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030444/alex-gibson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","Alex Gibson","RB","5-10","190","FR","Doylestown, PA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/533639/mark-cieslak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Mark Cieslak","FB","5-10","250","SR","Montvale, NJ"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/556509/willie-peoples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Willie Peoples","DB","6-1","210","SR","Cambridge, MA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030471/jonathon-webster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","Jonathon Webster","DB","6-1","190","FR","Sammamish, WA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3912436/h.t.-minor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","H.T. Minor","RB","5-9","180","SO","Woodberry Forest, VA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/4030455/van-neils","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","Van Neils","RB","6-1","215","FR","North Mankato, MN"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3912428/ryan-gilbert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","Ryan Gilbert","DB","6-1","190","SO","Bellevue, WA"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3118156/chris-schroer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","Chris Schroer","RB","6-1","215","JR","Cincinnati, OH"
"","","11/1/2016 10:40:53 PM","http://www.espn.com/college-football/team/roster/_/id/171","http://www.espn.com/college-football/player/_/id/3118157/tyler-holmes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","Tyler Holmes","DB","6-1","175","JR","Virginia Beach, VA"
