"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Dartmouth Big Green","","","","","",""
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/team/roster/_/id/159/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118363/marcus-berg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Marcus Berg","RB","5-9","205","JR","Minneapolis, MN"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118369/rocco-di-leo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Rocco Di Leo","DL","6-3","265","JR","Elmhurst, IL"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030932/david-emanuels","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","David Emanuels","LB","6-1","220","SO","Mercer Island, WA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030948/colton-forster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Colton Forster","LB","6-2","210","FR","Napa, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912484/gage-guerra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Gage Guerra","OL","5-11","265","SO","Corona, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030931/kamana-hobbs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Kamana Hobbs","DB","6-1","160","SO","Honolulu, HI"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030953/arthur-kaslow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Arthur Kaslow","LB","6-2","200","FR","Calabasas, CA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912502/zach-sammartino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Zach Sammartino","OL","6-4","285","SO","Pittsburgh, PA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3118391/forrest-town","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Forrest Town","RB","5-11","200","JR","Zachary, LA"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/3912508/kalil-washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Kalil Washington","DE","6-1","230","SO","Robinson, TX"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/4030950/hunter-hagdorn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Hunter Hagdorn","WR","6-1","185","FR","Manvel, TX"
"","","11/1/2016 8:48:43 PM","http://www.espn.com/college-football/team/roster/_/id/159/dartmouth-big-green","http://www.espn.com/college-football/player/_/id/548494/danny-mcmanus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Danny McManus","DB","5-9","180","SR","Mendota Heights, MN"
