"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Harvard Crimson","","","","","",""
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/team/roster/_/id/108/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3118847/tim-haehl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Tim Haehl","DB","6-1","200","JR","Bellevue, WA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/4031086/lavance-northington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Lavance Northington","WR","6-2","190","FR","Irvine, CA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3912520/tyler-gray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Tyler Gray","CB","6-1","200","SO","Columbia, SC"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/548329/joseph-viviano-iii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Joseph Viviano III","QB","6-5","220","SR","Berwyn, PA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3118844/jake-forte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Jake Forte","QB","6-2","210","JR","Dunwoody, GA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/529842/sean-ahern","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Sean Ahern","CB","6-1","195","SR","Cincinnati, OH"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3912524/alex-lapolice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Alex Lapolice","WR","6-1","185","SO","New Canaan, CT"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/548318/raishaun-mcghee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Raishaun McGhee","CB","5-11","180","SR","Windsor, CT"
