"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71"
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Penn Quakers","","","","","",""
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","http://www.espn.com/college-football/team/roster/_/id/219/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","http://www.espn.com/college-football/player/_/id/4070980/reina-kern","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Reina Kern","","0-0","0","--","--"
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","http://www.espn.com/college-football/player/_/id/4071281/kiera-towell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Kiera Towell","","0-0","0","--","--"
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","http://www.espn.com/college-football/player/_/id/3912754/mason-williams","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Mason Williams","DB","5-11","175","SO","Pasadena, CA"
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","http://www.espn.com/college-football/player/_/id/4034342/kohl-hollinquest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Kohl Hollinquest","WR","6-4","215","FR","Granada Hills, CA"
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","http://www.espn.com/college-football/player/_/id/4071264/sam-klingelhofer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Sam Klingelhofer","","0-0","0","--","--"
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","http://www.espn.com/college-football/player/_/id/533673/cameron-countryman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Cameron Countryman","WR","5-11","185","SR","Santa Clarita, CA"
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","http://www.espn.com/college-football/player/_/id/4071270/victoria-metelkine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Victoria Metelkine","","0-0","0","--","--"
"","","11/1/2016 9:30:49 PM","http://www.espn.com/college-football/team/roster/_/id/219","http://www.espn.com/college-football/player/_/id/4070993/elise-tilton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Elise Tilton","","0-0","0","--","--"
