"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Yale Bulldogs","","","","","",""
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/team/roster/_/id/43/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/549093/dale-harris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Dale Harris","RB","5-10","185","SR","Brooklandville, MD"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/3116742/bo-hines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Bo Hines","WR","6-1","205","JR","Charlotte, NC"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/3912777/marquise-peggs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Marquise Peggs","DB","5-11","176","SO","Chicago, IL"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/3118952/ross-drwal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Ross Drwal","WR","6-1","200","JR","Omaha, NE"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/4032051/malcolm-dixon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Malcolm Dixon","DB","6-1","180","FR","Gardena, CA"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/529884/sebastian-little","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Sebastian Little","TE","6-1","227","SR","Cheshire, CT"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/4032059/alan-lamar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Alan Lamar","RB","5-9","185","FR","Olive Branch, MS"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/4032046/jaelin-alburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Jaelin Alburg","DB","6-1","170","FR","Glenn Dale, MD"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/4032064/kurt-rawlings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Kurt Rawlings","QB","6-3","200","FR","Bel Air, MD"
"","","11/1/2016 9:26:38 PM","http://www.espn.com/college-football/team/roster/_/id/43/yale-bulldogs","http://www.espn.com/college-football/player/_/id/549104/candler-rich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Candler Rich","RB","5-11","206","SR","Newnan, GA"
