"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78","Column 79","Column 80","Column 81","Column 82","Column 83","Column 84","Column 85"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Alabama Crimson Tide","","","","","",""
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/team/roster/_/id/333/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040964/ben-davis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Ben Davis","LB","6-4","234","FR","Gordo, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/551293/robert-foster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Robert Foster","WR","6-2","191","JR","Monaca, PA"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/559696/tony-brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Tony Brown","DB","6-0","198","JR","Beaumont, TX"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040715/jalen-hurts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Jalen Hurts","QB","6-2","209","FR","Channelview, TX"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3925357/calvin-ridley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Calvin Ridley","WR","6-1","188","SO","Coconut Creek, FL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/551295/eddie-jackson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Eddie Jackson","DB","6-0","194","SR","Lauderdale Lakes, FL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040963/shyheim-carter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Shyheim Carter","DB","6-0","190","FR","Kentwood, LA"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3126345/ronnie-clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Ronnie Clark","RB","6-2","215","SO","Calera, AL"
