"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Arkansas Razorbacks","","","","","",""
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/team/roster/_/id/8/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/559629/jared-cornelius","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Jared Cornelius","WR","5-11","212","JR","Shreveport, LA"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/547211/dj-dean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","DJ Dean","DB","5-11","199","SR","Newton, TX"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/4035566/mctelvin-agim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","McTelvin Agim","DL","6-3","289","FR","Texarkana, TX"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/3916914/dominique-reed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Dominique Reed","WR","6-3","175","SR","Camden, AR"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/535877/keon-hatcher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Keon Hatcher","WR","6-2","207","SR","Owasso, OK"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/4035581/alexy-jean-baptiste","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Alexy Jean-Baptiste","LB","6-2","231","FR","Pompano Beach, FL"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/3886621/ty-storey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Ty Storey","QB","6-2","212","FR","Charleston, AR"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/3128687/henre'-toliver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Henre' Toliver","DB","6-1","185","JR","Marrero, LA"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/4035576/t.j.-hammonds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","T.J. Hammonds","RB","5-10","197","FR","Little Rock, AR"
"","","11/1/2016 11:24:35 PM","http://www.espn.com/college-football/team/roster/_/id/8","http://www.espn.com/college-football/player/_/id/535895/jamichael-winston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","JaMichael Winston","DL","6-4","260","SR","Prichard, AL"
