"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Auburn Tigers","","","","","",""
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/team/roster/_/id/2/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/550017/montravius-adams","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Montravius Adams","DT","6-4","309","SR","Vienna, GA"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/4035492/woody-barrett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Woody Barrett","QB","6-2","238","FR","Winter Garden, FL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/4035493/nate-craig-myers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Nate Craig-Myers","WR","6-2","204","FR","Dade City, FL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/4035494/marlon-davidson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Marlon Davidson","DL","6-3","273","FR","Greenville, AL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/3916928/jeff-holland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Jeff Holland","LB","6-2","250","SO","Jacksonville, FL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/3892692/jason-smith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Jason Smith","WR","6-1","188","JR","Mobile, AL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/4035495/derrick-brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Derrick Brown","DL","6-5","330","FR","Sugar Hill, GA"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/4035496/john-franklin-iii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","John Franklin III","QB","6-1","186","JR","Fort Lauderdale, FL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/3916923/carlton-davis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Carlton Davis","DB","6-1","195","SO","Miami, FL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/550019/jeremy-johnson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Jeremy Johnson","QB","6-5","234","SR","Montgomery, AL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/4047456/marlon-character-jr.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Marlon Character Jr.","DB","6-0","181","FR","Atlanta, GA"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/550020/tony-stevens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Tony Stevens","WR","6-4","212","SR","Orlando, FL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/3916922/byron-cowart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Byron Cowart","DE","6-3","276","SO","Seffner, FL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/4035497/kam-martin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Kam Martin","RB","5-10","177","FR","Port Arthur, TX"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/4035498/paul-james-iii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Paul James III","LB","6-4","271","JR","Miami, FL"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/559704/stanton-truitt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Stanton Truitt","WR","5-9","185","SO","Atlanta, GA"
"","","11/1/2016 11:25:08 PM","http://www.espn.com/college-football/team/roster/_/id/2","http://www.espn.com/college-football/player/_/id/3121593/markell-boston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Markell Boston","DB","6-0","200","SO","Newnan, GA"
