"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Florida Gators","","","","","",""
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/team/roster/_/id/57/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/4071226/jalen-tabor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Jalen Tabor","","0-0","0","--","--"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/559559/brandon-powell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Brandon Powell","WR","5-9","184","JR","Deerfield Beach, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/551318/ahmad-fulwood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Ahmad Fulwood","WR","6-4","208","SR","Jacksonville, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/3121660/quincy-wilson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Quincy Wilson","DB","6-1","213","JR","Fort Lauderdale, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/559554/duke-dawson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Duke Dawson","DB","5-10","208","JR","Cross City, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/551336/nick-washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Nick Washington","DB","6-0","197","JR","Jacksonville, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/4034943/dre-massey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Dre Massey","WR","5-9","180","JR","Greenville, SC"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/4034944/josh-hammond","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Josh Hammond","WR","6-1","186","FR","Hallandale, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/4034945/vosean-joseph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Vosean Joseph","LB","6-1","226","FR","Miami, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/4034946/kyle-trask","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Kyle Trask","QB","6-4","238","FR","Manvel, TX"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/534770/austin-appleby","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Austin Appleby","QB","6-4","240","SR","North Canton, OH"
