"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Kentucky Wildcats","","","","","",""
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","http://www.espn.com/college-football/team/roster/_/id/96/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","http://www.espn.com/college-football/player/_/id/551114/ryan-timmons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Ryan Timmons","WR","5-10","198","SR","Frankfort, KY"
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","http://www.espn.com/college-football/player/_/id/3126325/dorian-baker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Dorian Baker","WR","6-3","208","JR","Cleveland Heights, OH"
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","http://www.espn.com/college-football/player/_/id/4035050/jordan-griffin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Jordan Griffin","DB","6-0","177","FR","Jonesboro, GA"
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","http://www.espn.com/college-football/player/_/id/551103/jojo-kemp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Jojo Kemp","RB","5-10","200","SR","Deland, FL"
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","http://www.espn.com/college-football/player/_/id/559620/mikel-horton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Mikel Horton","RB","6-1","230","JR","West Chester, OH"
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","http://www.espn.com/college-football/player/_/id/3126324/kendall-randolph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Kendall Randolph","CB","6-0","182","JR","Tallahassee, FL"
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","http://www.espn.com/college-football/player/_/id/3126339/blake-bone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Blake Bone","WR","6-5","213","JR","Woodruff, SC"
"","","11/1/2016 11:30:17 PM","http://www.espn.com/college-football/team/roster/_/id/96","http://www.espn.com/college-football/player/_/id/559621/drew-barker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Drew Barker","QB","6-3","225","SO","Burlington, KY"
