"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 LSU Tigers","","","","","",""
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","http://www.espn.com/college-football/team/roster/_/id/99/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","http://www.espn.com/college-football/player/_/id/3843769/donte-jackson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Donte Jackson","DB","5-11","173","SO","Metairie, LA"
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","http://www.espn.com/college-football/player/_/id/3929991/trey-laforge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Trey LaForge","QB","6-6","211","FR","New Orleans, LA"
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","http://www.espn.com/college-football/player/_/id/3843234/kevin-toliver-ii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Kevin Toliver II","CB","6-2","193","SO","Jacksonville, FL"
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","http://www.espn.com/college-football/player/_/id/3843406/nick-brossette","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Nick Brossette","RB","6-0","209","SO","Baton Rouge, LA"
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","http://www.espn.com/college-football/player/_/id/3843750/derrius-guice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Derrius Guice","RB","5-11","212","SO","Baton Rouge, LA"
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","http://www.espn.com/college-football/player/_/id/559751/brandon-harris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Brandon Harris","QB","6-3","218","JR","Bossier City, LA"
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","http://www.espn.com/college-football/player/_/id/559752/leonard-fournette","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Leonard Fournette","RB","6-1","235","JR","New Orleans, LA"
"","","11/1/2016 11:26:39 PM","http://www.espn.com/college-football/team/roster/_/id/99","http://www.espn.com/college-football/player/_/id/3843266/caleb-lewis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Caleb Lewis","QB","6-4","218","FR","Lakeland, FL"
