"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Mississippi State Bulldogs","","","","","",""
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","http://www.espn.com/college-football/team/roster/_/id/344/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","http://www.espn.com/college-football/player/_/id/4047627/stephen-adegoke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Stephen Adegoke","DB","6-1","210","JR","Snellville, GA"
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","http://www.espn.com/college-football/player/_/id/4047628/logan-burnett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Logan Burnett","QB","6-2","190","FR","Pelham, AL"
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","http://www.espn.com/college-football/player/_/id/4047629/a.j.-davis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","A.J. Davis","DE","6-3","240","FR","Graceville, FL"
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","http://www.espn.com/college-football/player/_/id/4047630/tyler-mathes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Tyler Mathes","WR","6-3","200","FR","Corydon, IN"
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","http://www.espn.com/college-football/player/_/id/4047631/jordan-mccormick","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Jordan McCormick","S","6-1","200","FR","Huntersville, NC"
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","http://www.espn.com/college-football/player/_/id/4047632/denzel-mcelroy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Denzel McElroy","S","6-0","200","FR","Little Rock, AR"
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","http://www.espn.com/college-football/player/_/id/4047633/chris-parker-iii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Chris Parker III","DL","6-0","190","FR","Olive Branch, MS"
"","","11/1/2016 11:28:28 PM","http://www.espn.com/college-football/team/roster/_/id/344","http://www.espn.com/college-football/player/_/id/4047634/peyton-pisacane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","Peyton Pisacane","S","5-9","185","FR","Franklin, TN"
