"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Missouri Tigers","","","","","",""
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/team/roster/_/id/142/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/534457/chris-black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Chris Black","WR","6-0","190","SR","Jacksonville, FL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3929843/anthony-hines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Anthony Hines","DB","6-1","200","JR","South San Francisco, CA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3924333/tj-warren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","TJ Warren","DB","5-11","210","FR","Conyers, GA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/559579/marvin-zanders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Marvin Zanders","QB","6-1","200","SO","Jacksonville, FL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/550097/luke-jackson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Luke Jackson","PK","6-1","195","JR","Pensacola, FL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3924327/drew-lock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Drew Lock","QB","6-4","220","SO","Lee's Summit, MO"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3924329/ronnell-perkins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Ronnell Perkins","S","6-0","200","FR","--"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/559575/brandon-lee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Brandon Lee","LB","6-2","225","SO","Indianapolis, IN"
