"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Ole Miss Rebels","","","","","",""
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/team/roster/_/id/145/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/3894913/tony-bridges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Tony Bridges","DB","6-0","185","SR","Collins, MS"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/4047646/a.j.-brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","A.J. Brown","WR","6-1","225","FR","Starkville, MS"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/4047647/deontay-anderson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Deontay Anderson","DB","6-1","217","FR","Houston, TX"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/3128747/demarquis-gates","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","DeMarquis Gates","LB","6-2","211","JR","Hampton, GA"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/550549/damore'ea-stringfellow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Damore'ea Stringfellow","WR","6-2","211","JR","Perris, CA"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/559638/c.j.-hampton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","C.J. Hampton","DB","6-0","186","JR","Meridian, MS"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/4047648/tre-nixon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Tre Nixon","WR","6-1","170","FR","Viera, FL"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/3930064/damarkus-lodge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","DaMarkus Lodge","WR","6-2","190","SO","Cedar Hill, TX"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/3128743/ken-webster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Ken Webster","DB","5-11","189","JR","Decatur, GA"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/536560/fadol-brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Fadol Brown","DE","6-4","273","SR","Charleston, SC"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/3930067/jalen-julius","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Jalen Julius","DB","5-10","172","FR","Winter Garden, FL"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/3930065/jason-pellerin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Jason Pellerin","QB","6-4","230","FR","New Iberia, LA"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/550110/quincy-adeboyejo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Quincy Adeboyejo","WR","6-3","195","SR","Cedar Hill, TX"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/535200/rommel-mageo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Rommel Mageo","LB","6-2","233","SR","--"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/3128740/breeland-speaks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Breeland Speaks","DT","6-3","310","SO","Jackson, MS"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/559639/marquis-haynes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Marquis Haynes","DE","6-3","222","JR","Jacksonville, FL"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/534580/chad-kelly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Chad Kelly","QB","6-2","224","SR","Buffalo, NY"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/4035289/greg-eisworth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Greg Eisworth","DB","5-11","184","FR","Grand Prairie, TX"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/3128741/markell-pack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Markell Pack","WR","6-2","184","JR","Purvis, MS"
"","","11/1/2016 11:27:44 PM","http://www.espn.com/college-football/team/roster/_/id/145","http://www.espn.com/college-football/player/_/id/550115/tony-conner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Tony Conner","DB","6-0","225","SR","Batesville, MS"
