"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Tennessee Volunteers","","","","","",""
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/team/roster/_/id/2633/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/559716/jalen-hurd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Jalen Hurd","RB","6-4","240","JR","Hendersonville, TN"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/4035166/jonathan-kongbo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Jonathan Kongbo","DL","6-6","270","SO","Surrey, BC"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/4035167/jarrett-guarantano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Jarrett Guarantano","QB","6-4","205","FR","Lodi, NJ"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/3886601/shy-tuttle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Shy Tuttle","DL","6-2","311","SO","Midway, NC"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/559718/josh-malone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Josh Malone","WR","6-3","200","JR","Gallatin, TN"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/4035168/marquill-osborne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Marquill Osborne","DB","5-11","188","FR","Cornelius, NC"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/3915381/john-kelly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","John Kelly","RB","5-9","212","SO","Detroit, MI"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/532061/latroy-lewis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","LaTroy Lewis","DL","6-4","256","SR","Akron, OH"
