"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Texas A&M Aggies","","","","","",""
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/team/roster/_/id/245/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/4035221/quartney-davis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Quartney Davis","WR","6-2","195","FR","Houston, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3122128/nick-harvey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Nick Harvey","DB","5-10","185","JR","Lancaster, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/559679/speedy-noil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Speedy Noil","WR","5-11","200","JR","New Orleans, LA"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3895856/christian-kirk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Christian Kirk","WR","5-11","200","SO","Scottsdale, AZ"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/549864/noel-ellis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Noel Ellis","DB","5-10","185","JR","New Orleans, LA"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3895857/damion-ratley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Damion Ratley","WR","6-3","195","JR","Yoakum, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3917316/daylon-mack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Daylon Mack","DL","6-1","320","SO","Gladewater, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/4035222/trayveon-williams","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Trayveon Williams","RB","5-9","200","FR","Houston, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3122135/donovan-wilson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Donovan Wilson","DB","6-1","206","JR","Shreveport, LA"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/550492/keith-ford","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Keith Ford","RB","5-11","215","JR","Cypress, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3895858/richard-moore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Richard Moore","LB","6-1","218","SO","Cedar Hill, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3917325/justin-dunning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Justin Dunning","DB","6-4","225","SO","Whitehouse, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/534449/trevor-knight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Trevor Knight","QB","6-1","215","SR","SAN ANTONIO, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3122129/qualen-cunningham","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Qualen Cunningham","DL","6-3","240","JR","Chandler, AZ"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/549866/ricky-seals-jones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Ricky Seals-Jones","WR","6-5","240","JR","Sealy, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/549867/daeshon-hall","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Daeshon Hall","DL","6-6","270","SR","Seattle, WA"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/550539/jake-hubenak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Jake Hubenak","QB","6-3","215","JR","Georgetown, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3917319/larry-pryor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Larry Pryor","DB","6-1","205","FR","Sulphur Springs, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/559694/josh-reynolds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Josh Reynolds","WR","6-4","193","SR","SAN ANTONIO, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3122131/josh-walker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Josh Walker","LB","6-1","245","JR","Gilmer, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3122143/cullen-gillaspia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Cullen Gillaspia","LB","6-2","230","SO","Katy, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/546590/reggie-chevis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Reggie Chevis","DL","6-1","300","JR","Houston, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3122130/jamal-jeffery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Jamal Jeffery","WR","5-9","175","JR","Lufkin, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/4035223/michael-milstead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Michael Milstead","QB","6-1","180","FR","Houston, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3895859/justin-evans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Justin Evans","DB","6-1","200","SR","Wiggins, MS"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/532118/conner-mcqueen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Conner McQueen","QB","5-10","175","SR","Klein, TX"
"","","11/1/2016 11:28:58 PM","http://www.espn.com/college-football/team/roster/_/id/245","http://www.espn.com/college-football/player/_/id/3122132/myles-garrett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Myles Garrett","DL","6-5","270","JR","Arlington, TX"
