"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Vanderbilt Commodores","","","","","",""
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","http://www.espn.com/college-football/team/roster/_/id/238/sort/lastName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NAME","POS","HT","WT","CLASS","HOMETOWN"
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","http://www.espn.com/college-football/player/_/id/3915780/arnold-tarpley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Arnold Tarpley","S","6-1","200","JR","Pittsburgh, PA"
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","http://www.espn.com/college-football/player/_/id/4035285/deuce-wallace","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Deuce Wallace","QB","6-2","205","FR","Sevierville, TN"
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","http://www.espn.com/college-football/player/_/id/549974/taurean-ferguson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Taurean Ferguson","CB","5-9","190","JR","Jonesboro, GA"
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","http://www.espn.com/college-football/player/_/id/3122170/shawn-stankavage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Shawn Stankavage","QB","6-2","201","SO","Durham, NC"
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","http://www.espn.com/college-football/player/_/id/4035282/donaven-tennyson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Donaven Tennyson","WR","5-10","164","FR","Richmond, VA"
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","http://www.espn.com/college-football/player/_/id/531998/torren-mcgaster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Torren McGaster","CB","6-0","198","SR","Daphne, AL"
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","http://www.espn.com/college-football/player/_/id/549981/darrius-sims","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Darrius Sims","WR","5-9","191","SR","Memphis, TN"
"","","11/1/2016 11:30:46 PM","http://www.espn.com/college-football/team/roster/_/id/238","http://www.espn.com/college-football/player/_/id/3122169/emmanuel-smith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Emmanuel Smith","S","6-2","219","JR","Murfreesboro, TN"
